,All-Male_Mean,All-Male_SD,Mixed_Mean,Mixed_SD,All-Female_Mean,All-Female_SD,Full_Mean,Full_SD
Modal,6.166,2.934,6.351,2.847,5.709,3.0,6.167,2.93
Hedge,8.349,1.978,8.488,1.728,8.073,2.113,8.353,1.962
Qual,8.241,1.846,8.322,1.659,8.227,1.703,8.248,1.825
AckLim,8.026,2.557,8.528,2.261,8.463,2.239,8.088,2.525
Caution,8.628,2.244,8.437,2.317,8.543,2.291,8.608,2.253
Assert,8.184,1.554,8.43,1.28,8.042,1.553,8.202,1.532
ActPass,7.158,2.782,8.572,1.78,7.901,2.432,7.316,2.726
Direct,5.942,2.08,6.707,1.811,6.527,1.859,6.034,2.063
Imperat,1.019,0.224,1.009,0.137,1.0,0.0,1.018,0.213
Pronoun,4.082,3.463,6.525,3.119,3.981,3.446,4.307,3.505
Novelty,2.267,2.124,2.264,2.2,1.904,1.851,2.255,2.124
Jargon,6.999,1.729,6.476,1.862,6.07,1.924,6.919,1.763
Emot,1.118,0.369,1.115,0.351,1.099,0.31,1.117,0.366
Evid,1.677,1.344,2.314,1.904,2.195,1.731,1.755,1.435
Pract,2.356,1.729,2.702,1.877,2.495,1.799,2.393,1.749
Read,6.7,1.375,7.415,1.255,7.374,1.302,6.79,1.382
