,Department,Article Count
20,finance,791
30,operations management,441
8,accounting,279
29,marketing,267
26,information systems,189
12,behavioral economics and decision analysis,183
16,business strategy,136
18,decision analysis,120
31,optimization,115
10,behavioral economics,113
36,revenue management and market analytics,80
19,entrepreneurship and innovation,68
39,stochastic models and simulation,63
34,organizations,61
23,healthcare management,48
28,judgment and decision making,46
17,data science,39
14,big data analytics,26
5,Special Section of Management Science: 65th Anniversary,22
7,Special Section ofManagement Scienceon Business and Climate Change,21
2,Management Science Special Section on Data-Driven Prescriptive Analytics,20
6,Special Section ofManagement Science: Blockchains and Crypto Economics,15
0,Finance,4
41,strategy,2
24,information science,1
25,information system,1
40,stochastic models and systems,1
3,Optimization,1
38,stochastic models,1
37,revenue management and market analytics department,1
4,"Renee, finance",1
35,revenue management and analytics,1
9,behavioral analysis,1
33,organization,1
32,optimization and decision analytics,1
11,behavioral economics & decision analysis,1
13,behavioral economics and decisions analysis,1
15,big data and analytics,1
1,"Jayashankar, operations management",1
27,information systems division,1
22,health,1
21,finance department,1
