Feature,0.0,1.0
Modal Verb Strength,5.737,5.13
Hedging Frequency & Type,8.215,7.933
Qualifier Density,8.244,8.235
Acknowledgement of Limitations,8.053,8.412
Caution-Signaling Connectors,8.318,7.914
Assertiveness & Voice,8.221,8.211
Active/Passive Voice Ratio,7.67,8.679
Sentence Length & Directness,5.839,6.07
Imperative-Form Occurrence,1.015,1.001
Pronoun Commitment,5.028,6.637
Novelty-Claim Strength,2.415,2.509
Jargon/Technicality Density,6.986,6.532
Emotional Valence,1.179,1.275
Evidence & Citation Usage,1.923,2.534
Practical/Impact Orientation,2.822,3.38
Readability,6.788,7.247
